Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,1,0,0,0,0
2,3,7,2.64575,4.35425,9.64575
3,5,4,2,2,6
4,7,4,2,2,6
5,9,4,2,2,6
6,11,1,1,0,2
7,13,4,2,2,6
8,15,6,2.44949,3.55051,8.44949
9,17,0,0,0,0
10,19,1,1,0,2
11,21,4,2,2,6
12,23,1,1,0,2
13,25,1,1,0,2
14,27,1,1,0,2
15,29,0,0,0,0
16,31,2,1.41421,0.585786,3.41421
17,33,2,1.41421,0.585786,3.41421
18,35,0,0,0,0
19,37,2,1.41421,0.585786,3.41421
20,39,2,1.41421,0.585786,3.41421
21,41,1,1,0,2
22,43,0,0,0,0
23,45,1,1,0,2
24,47,0,0,0,0
25,49,0,0,0,0
26,51,0,0,0,0
27,53,1,1,0,2
28,55,0,0,0,0
29,57,1,1,0,2
30,59,0,0,0,0
31,61,2,1.41421,0.585786,3.41421
32,63,2,1.41421,0.585786,3.41421
33,65,0,0,0,0
34,67,0,0,0,0
35,69,0,0,0,0
36,71,0,0,0,0
37,73,1,1,0,2
38,75,2,1.41421,0.585786,3.41421
39,77,0,0,0,0
40,79,0,0,0,0
41,81,0,0,0,0
42,83,1,1,0,2
43,85,0,0,0,0
44,87,2,1.41421,0.585786,3.41421
45,89,1,1,0,2
46,91,0,0,0,0
47,93,0,0,0,0
48,95,0,0,0,0
49,97,0,0,0,0
50,99,0,0,0,0
