Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,-68.6,0,0,0,0
2,-65.8,0,0,0,0
3,-63,0,0,0,0
4,-60.2,0,0,0,0
5,-57.4,0,0,0,0
6,-54.6,1,1,0,2
7,-51.8,2,1.41421,0.585786,3.41421
8,-49,4,2,2,6
9,-46.2,6,2.44949,3.55051,8.44949
10,-43.4,2,1.41421,0.585786,3.41421
11,-40.6,4,2,2,6
12,-37.8,2,1.41421,0.585786,3.41421
13,-35,9,3,6,12
14,-32.2,5,2.23607,2.76393,7.23607
15,-29.4,0,0,0,0
16,-26.6,4,2,2,6
17,-23.8,3,1.73205,1.26795,4.73205
18,-21,2,1.41421,0.585786,3.41421
19,-18.2,1,1,0,2
20,-15.4,1,1,0,2
21,-12.6,4,2,2,6
22,-9.8,1,1,0,2
23,-7,4,2,2,6
24,-4.2,4,2,2,6
25,-1.4,4,2,2,6
26,1.4,4,2,2,6
27,4.2,4,2,2,6
28,7,4,2,2,6
29,9.8,5,2.23607,2.76393,7.23607
30,12.6,2,1.41421,0.585786,3.41421
31,15.4,0,0,0,0
32,18.2,1,1,0,2
33,21,0,0,0,0
34,23.8,2,1.41421,0.585786,3.41421
35,26.6,4,2,2,6
36,29.4,5,2.23607,2.76393,7.23607
37,32.2,5,2.23607,2.76393,7.23607
38,35,0,0,0,0
39,37.8,3,1.73205,1.26795,4.73205
40,40.6,0,0,0,0
41,43.4,1,1,0,2
42,46.2,1,1,0,2
43,49,3,1.73205,1.26795,4.73205
44,51.8,2,1.41421,0.585786,3.41421
45,54.6,1,1,0,2
46,57.4,4,2,2,6
47,60.2,0,0,0,0
48,63,0,0,0,0
49,65.8,0,0,0,0
50,68.6,0,0,0,0
