Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,-0.99,1,1,0,2
2,-0.97,0,0,0,0
3,-0.95,0,0,0,0
4,-0.93,0,0,0,0
5,-0.91,0,0,0,0
6,-0.89,0,0,0,0
7,-0.87,0,0,0,0
8,-0.85,1,1,0,2
9,-0.83,0,0,0,0
10,-0.81,0,0,0,0
11,-0.79,0,0,0,0
12,-0.77,0,0,0,0
13,-0.75,0,0,0,0
14,-0.73,0,0,0,0
15,-0.71,1,1,0,2
16,-0.69,0,0,0,0
17,-0.67,0,0,0,0
18,-0.65,1,1,0,2
19,-0.63,0,0,0,0
20,-0.61,1,1,0,2
21,-0.59,0,0,0,0
22,-0.57,1,1,0,2
23,-0.55,1,1,0,2
24,-0.53,2,1.41421,0.585786,3.41421
25,-0.51,0,0,0,0
26,-0.49,0,0,0,0
27,-0.47,0,0,0,0
28,-0.45,1,1,0,2
29,-0.43,1,1,0,2
30,-0.41,0,0,0,0
31,-0.39,0,0,0,0
32,-0.37,1,1,0,2
33,-0.35,0,0,0,0
34,-0.33,0,0,0,0
35,-0.31,1,1,0,2
36,-0.29,1,1,0,2
37,-0.27,0,0,0,0
38,-0.25,1,1,0,2
39,-0.23,0,0,0,0
40,-0.21,0,0,0,0
41,-0.19,0,0,0,0
42,-0.17,1,1,0,2
43,-0.15,1,1,0,2
44,-0.13,0,0,0,0
45,-0.11,0,0,0,0
46,-0.09,0,0,0,0
47,-0.07,2,1.41421,0.585786,3.41421
48,-0.05,2,1.41421,0.585786,3.41421
49,-0.03,0,0,0,0
50,-0.01,0,0,0,0
51,0.01,2,1.41421,0.585786,3.41421
52,0.03,0,0,0,0
53,0.05,0,0,0,0
54,0.07,3,1.73205,1.26795,4.73205
55,0.09,1,1,0,2
56,0.11,0,0,0,0
57,0.13,0,0,0,0
58,0.15,1,1,0,2
59,0.17,1,1,0,2
60,0.19,2,1.41421,0.585786,3.41421
61,0.21,1,1,0,2
62,0.23,0,0,0,0
63,0.25,0,0,0,0
64,0.27,0,0,0,0
65,0.29,2,1.41421,0.585786,3.41421
66,0.31,5,2.23607,2.76393,7.23607
67,0.33,0,0,0,0
68,0.35,1,1,0,2
69,0.37,0,0,0,0
70,0.39,2,1.41421,0.585786,3.41421
71,0.41,0,0,0,0
72,0.43,0,0,0,0
73,0.45,2,1.41421,0.585786,3.41421
74,0.47,2,1.41421,0.585786,3.41421
75,0.49,3,1.73205,1.26795,4.73205
76,0.51,3,1.73205,1.26795,4.73205
77,0.53,1,1,0,2
78,0.55,3,1.73205,1.26795,4.73205
79,0.57,3,1.73205,1.26795,4.73205
80,0.59,1,1,0,2
81,0.61,1,1,0,2
82,0.63,1,1,0,2
83,0.65,3,1.73205,1.26795,4.73205
84,0.67,2,1.41421,0.585786,3.41421
85,0.69,2,1.41421,0.585786,3.41421
86,0.71,2,1.41421,0.585786,3.41421
87,0.73,4,2,2,6
88,0.75,4,2,2,6
89,0.77,4,2,2,6
90,0.79,3,1.73205,1.26795,4.73205
91,0.81,8,2.82843,5.17157,10.8284
92,0.83,3,1.73205,1.26795,4.73205
93,0.85,10,3.16228,6.83772,13.1623
94,0.87,15,3.87298,11.127,18.873
95,0.89,9,3,6,12
96,0.91,8,2.82843,5.17157,10.8284
97,0.93,10,3.16228,6.83772,13.1623
98,0.95,9,3,6,12
99,0.97,23,4.79583,18.2042,27.7958
100,0.99,32,5.65685,26.3431,37.6569
