Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,1,0,0,0,0
2,3,12,3.4641,8.5359,15.4641
3,5,8,2.82843,5.17157,10.8284
4,7,14,3.74166,10.2583,17.7417
5,9,8,2.82843,5.17157,10.8284
6,11,16,4,12,20
7,13,10,3.16228,6.83772,13.1623
8,15,8,2.82843,5.17157,10.8284
9,17,10,3.16228,6.83772,13.1623
10,19,5,2.23607,2.76393,7.23607
11,21,5,2.23607,2.76393,7.23607
12,23,9,3,6,12
13,25,7,2.64575,4.35425,9.64575
14,27,9,3,6,12
15,29,11,3.31662,7.68338,14.3166
16,31,3,1.73205,1.26795,4.73205
17,33,8,2.82843,5.17157,10.8284
18,35,6,2.44949,3.55051,8.44949
19,37,6,2.44949,3.55051,8.44949
20,39,8,2.82843,5.17157,10.8284
21,41,5,2.23607,2.76393,7.23607
22,43,3,1.73205,1.26795,4.73205
23,45,7,2.64575,4.35425,9.64575
24,47,5,2.23607,2.76393,7.23607
25,49,1,1,0,2
26,51,3,1.73205,1.26795,4.73205
27,53,5,2.23607,2.76393,7.23607
28,55,1,1,0,2
29,57,1,1,0,2
30,59,2,1.41421,0.585786,3.41421
31,61,1,1,0,2
32,63,0,0,0,0
33,65,3,1.73205,1.26795,4.73205
34,67,2,1.41421,0.585786,3.41421
35,69,1,1,0,2
36,71,0,0,0,0
37,73,1,1,0,2
38,75,2,1.41421,0.585786,3.41421
39,77,1,1,0,2
40,79,1,1,0,2
41,81,1,1,0,2
42,83,0,0,0,0
43,85,2,1.41421,0.585786,3.41421
44,87,1,1,0,2
45,89,0,0,0,0
46,91,0,0,0,0
47,93,0,0,0,0
48,95,0,0,0,0
49,97,0,0,0,0
50,99,0,0,0,0
