Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,1,0,0,0,0
2,3,68,8.24621,59.7538,76.2462
3,5,43,6.55744,36.4426,49.5574
4,7,32,5.65685,26.3431,37.6569
5,9,34,5.83095,28.169,39.831
6,11,22,4.69042,17.3096,26.6904
7,13,21,4.58258,16.4174,25.5826
8,15,14,3.74166,10.2583,17.7417
9,17,14,3.74166,10.2583,17.7417
10,19,23,4.79583,18.2042,27.7958
11,21,12,3.4641,8.5359,15.4641
12,23,17,4.12311,12.8769,21.1231
13,25,11,3.31662,7.68338,14.3166
14,27,7,2.64575,4.35425,9.64575
15,29,8,2.82843,5.17157,10.8284
16,31,10,3.16228,6.83772,13.1623
17,33,8,2.82843,5.17157,10.8284
18,35,10,3.16228,6.83772,13.1623
19,37,5,2.23607,2.76393,7.23607
20,39,5,2.23607,2.76393,7.23607
21,41,8,2.82843,5.17157,10.8284
22,43,4,2,2,6
23,45,2,1.41421,0.585786,3.41421
24,47,6,2.44949,3.55051,8.44949
25,49,4,2,2,6
26,51,5,2.23607,2.76393,7.23607
27,53,2,1.41421,0.585786,3.41421
28,55,3,1.73205,1.26795,4.73205
29,57,2,1.41421,0.585786,3.41421
30,59,1,1,0,2
31,61,2,1.41421,0.585786,3.41421
32,63,5,2.23607,2.76393,7.23607
33,65,2,1.41421,0.585786,3.41421
34,67,2,1.41421,0.585786,3.41421
35,69,3,1.73205,1.26795,4.73205
36,71,3,1.73205,1.26795,4.73205
37,73,4,2,2,6
38,75,1,1,0,2
39,77,0,0,0,0
40,79,0,0,0,0
41,81,1,1,0,2
42,83,1,1,0,2
43,85,0,0,0,0
44,87,2,1.41421,0.585786,3.41421
45,89,0,0,0,0
46,91,0,0,0,0
47,93,1,1,0,2
48,95,0,0,0,0
49,97,0,0,0,0
50,99,0,0,0,0
