Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,1,9,3,6,12
2,3,10,3.16228,6.83772,13.1623
3,5,5,2.23607,2.76393,7.23607
4,7,11,3.31662,7.68338,14.3166
5,9,8,2.82843,5.17157,10.8284
6,11,5,2.23607,2.76393,7.23607
7,13,4,2,2,6
8,15,2,1.41421,0.585786,3.41421
9,17,6,2.44949,3.55051,8.44949
10,19,3,1.73205,1.26795,4.73205
11,21,3,1.73205,1.26795,4.73205
12,23,3,1.73205,1.26795,4.73205
13,25,4,2,2,6
14,27,0,0,0,0
15,29,4,2,2,6
16,31,6,2.44949,3.55051,8.44949
17,33,2,1.41421,0.585786,3.41421
18,35,2,1.41421,0.585786,3.41421
19,37,3,1.73205,1.26795,4.73205
20,39,1,1,0,2
21,41,1,1,0,2
22,43,0,0,0,0
23,45,3,1.73205,1.26795,4.73205
24,47,1,1,0,2
25,49,2,1.41421,0.585786,3.41421
26,51,2,1.41421,0.585786,3.41421
27,53,3,1.73205,1.26795,4.73205
28,55,2,1.41421,0.585786,3.41421
29,57,2,1.41421,0.585786,3.41421
30,59,0,0,0,0
31,61,0,0,0,0
32,63,0,0,0,0
33,65,1,1,0,2
34,67,0,0,0,0
35,69,2,1.41421,0.585786,3.41421
36,71,3,1.73205,1.26795,4.73205
37,73,0,0,0,0
38,75,1,1,0,2
39,77,3,1.73205,1.26795,4.73205
40,79,4,2,2,6
41,81,4,2,2,6
42,83,2,1.41421,0.585786,3.41421
43,85,6,2.44949,3.55051,8.44949
44,87,2,1.41421,0.585786,3.41421
45,89,2,1.41421,0.585786,3.41421
46,91,2,1.41421,0.585786,3.41421
47,93,3,1.73205,1.26795,4.73205
48,95,5,2.23607,2.76393,7.23607
49,97,3,1.73205,1.26795,4.73205
50,99,5,2.23607,2.76393,7.23607
