Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,1,0,0,0,0
2,3,3,1.73205,1.26795,4.73205
3,5,0,0,0,0
4,7,1,1,0,2
5,9,4,2,2,6
6,11,1,1,0,2
7,13,2,1.41421,0.585786,3.41421
8,15,0,0,0,0
9,17,0,0,0,0
10,19,2,1.41421,0.585786,3.41421
11,21,2,1.41421,0.585786,3.41421
12,23,0,0,0,0
13,25,0,0,0,0
14,27,0,0,0,0
15,29,0,0,0,0
16,31,0,0,0,0
17,33,0,0,0,0
18,35,1,1,0,2
19,37,0,0,0,0
20,39,1,1,0,2
21,41,1,1,0,2
22,43,0,0,0,0
23,45,1,1,0,2
24,47,0,0,0,0
25,49,0,0,0,0
26,51,0,0,0,0
27,53,0,0,0,0
28,55,0,0,0,0
29,57,0,0,0,0
30,59,1,1,0,2
31,61,0,0,0,0
32,63,0,0,0,0
33,65,0,0,0,0
34,67,0,0,0,0
35,69,1,1,0,2
36,71,0,0,0,0
37,73,1,1,0,2
38,75,0,0,0,0
39,77,0,0,0,0
40,79,0,0,0,0
41,81,0,0,0,0
42,83,1,1,0,2
43,85,0,0,0,0
44,87,0,0,0,0
45,89,0,0,0,0
46,91,0,0,0,0
47,93,0,0,0,0
48,95,0,0,0,0
49,97,0,0,0,0
50,99,0,0,0,0
