Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,-68.6,0,0,0,0
2,-65.8,0,0,0,0
3,-63,0,0,0,0
4,-60.2,1,1,0,2
5,-57.4,2,1.41421,0.585786,3.41421
6,-54.6,4,2,2,6
7,-51.8,2,1.41421,0.585786,3.41421
8,-49,4,2,2,6
9,-46.2,1,1,0,2
10,-43.4,0,0,0,0
11,-40.6,1,1,0,2
12,-37.8,1,1,0,2
13,-35,1,1,0,2
14,-32.2,5,2.23607,2.76393,7.23607
15,-29.4,1,1,0,2
16,-26.6,0,0,0,0
17,-23.8,1,1,0,2
18,-21,1,1,0,2
19,-18.2,5,2.23607,2.76393,7.23607
20,-15.4,4,2,2,6
21,-12.6,2,1.41421,0.585786,3.41421
22,-9.8,5,2.23607,2.76393,7.23607
23,-7,1,1,0,2
24,-4.2,1,1,0,2
25,-1.4,0,0,0,0
26,1.4,1,1,0,2
27,4.2,0,0,0,0
28,7,3,1.73205,1.26795,4.73205
29,9.8,2,1.41421,0.585786,3.41421
30,12.6,1,1,0,2
31,15.4,3,1.73205,1.26795,4.73205
32,18.2,5,2.23607,2.76393,7.23607
33,21,3,1.73205,1.26795,4.73205
34,23.8,2,1.41421,0.585786,3.41421
35,26.6,2,1.41421,0.585786,3.41421
36,29.4,2,1.41421,0.585786,3.41421
37,32.2,5,2.23607,2.76393,7.23607
38,35,2,1.41421,0.585786,3.41421
39,37.8,3,1.73205,1.26795,4.73205
40,40.6,3,1.73205,1.26795,4.73205
41,43.4,4,2,2,6
42,46.2,2,1.41421,0.585786,3.41421
43,49,4,2,2,6
44,51.8,5,2.23607,2.76393,7.23607
45,54.6,2,1.41421,0.585786,3.41421
46,57.4,4,2,2,6
47,60.2,0,0,0,0
48,63,0,0,0,0
49,65.8,0,0,0,0
50,68.6,0,0,0,0
