Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,-68.6,0,0,0,0
2,-65.8,0,0,0,0
3,-63,0,0,0,0
4,-60.2,1,1,0,2
5,-57.4,1,1,0,2
6,-54.6,2,1.41421,0.585786,3.41421
7,-51.8,1,1,0,2
8,-49,5,2.23607,2.76393,7.23607
9,-46.2,1,1,0,2
10,-43.4,1,1,0,2
11,-40.6,1,1,0,2
12,-37.8,0,0,0,0
13,-35,1,1,0,2
14,-32.2,4,2,2,6
15,-29.4,2,1.41421,0.585786,3.41421
16,-26.6,0,0,0,0
17,-23.8,1,1,0,2
18,-21,1,1,0,2
19,-18.2,3,1.73205,1.26795,4.73205
20,-15.4,4,2,2,6
21,-12.6,0,0,0,0
22,-9.8,4,2,2,6
23,-7,1,1,0,2
24,-4.2,2,1.41421,0.585786,3.41421
25,-1.4,0,0,0,0
26,1.4,0,0,0,0
27,4.2,0,0,0,0
28,7,3,1.73205,1.26795,4.73205
29,9.8,2,1.41421,0.585786,3.41421
30,12.6,1,1,0,2
31,15.4,3,1.73205,1.26795,4.73205
32,18.2,4,2,2,6
33,21,2,1.41421,0.585786,3.41421
34,23.8,2,1.41421,0.585786,3.41421
35,26.6,2,1.41421,0.585786,3.41421
36,29.4,3,1.73205,1.26795,4.73205
37,32.2,4,2,2,6
38,35,2,1.41421,0.585786,3.41421
39,37.8,1,1,0,2
40,40.6,3,1.73205,1.26795,4.73205
41,43.4,2,1.41421,0.585786,3.41421
42,46.2,2,1.41421,0.585786,3.41421
43,49,2,1.41421,0.585786,3.41421
44,51.8,3,1.73205,1.26795,4.73205
45,54.6,2,1.41421,0.585786,3.41421
46,57.4,2,1.41421,0.585786,3.41421
47,60.2,1,1,0,2
48,63,0,0,0,0
49,65.8,0,0,0,0
50,68.6,0,0,0,0
