Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,-0.99,29,5.38516,23.6148,34.3852
2,-0.97,15,3.87298,11.127,18.873
3,-0.95,6,2.44949,3.55051,8.44949
4,-0.93,1,1,0,2
5,-0.91,4,2,2,6
6,-0.89,1,1,0,2
7,-0.87,3,1.73205,1.26795,4.73205
8,-0.85,0,0,0,0
9,-0.83,1,1,0,2
10,-0.81,0,0,0,0
11,-0.79,0,0,0,0
12,-0.77,1,1,0,2
13,-0.75,0,0,0,0
14,-0.73,0,0,0,0
15,-0.71,0,0,0,0
16,-0.69,1,1,0,2
17,-0.67,2,1.41421,0.585786,3.41421
18,-0.65,1,1,0,2
19,-0.63,2,1.41421,0.585786,3.41421
20,-0.61,1,1,0,2
21,-0.59,1,1,0,2
22,-0.57,0,0,0,0
23,-0.55,0,0,0,0
24,-0.53,0,0,0,0
25,-0.51,0,0,0,0
26,-0.49,2,1.41421,0.585786,3.41421
27,-0.47,1,1,0,2
28,-0.45,1,1,0,2
29,-0.43,1,1,0,2
30,-0.41,0,0,0,0
31,-0.39,0,0,0,0
32,-0.37,0,0,0,0
33,-0.35,0,0,0,0
34,-0.33,0,0,0,0
35,-0.31,0,0,0,0
36,-0.29,0,0,0,0
37,-0.27,0,0,0,0
38,-0.25,0,0,0,0
39,-0.23,0,0,0,0
40,-0.21,0,0,0,0
41,-0.19,0,0,0,0
42,-0.17,0,0,0,0
43,-0.15,0,0,0,0
44,-0.13,0,0,0,0
45,-0.11,0,0,0,0
46,-0.09,1,1,0,2
47,-0.07,0,0,0,0
48,-0.05,0,0,0,0
49,-0.03,0,0,0,0
50,-0.01,0,0,0,0
51,0.01,0,0,0,0
52,0.03,0,0,0,0
53,0.05,0,0,0,0
54,0.07,0,0,0,0
55,0.09,0,0,0,0
56,0.11,0,0,0,0
57,0.13,0,0,0,0
58,0.15,0,0,0,0
59,0.17,0,0,0,0
60,0.19,0,0,0,0
61,0.21,1,1,0,2
62,0.23,0,0,0,0
63,0.25,1,1,0,2
64,0.27,1,1,0,2
65,0.29,0,0,0,0
66,0.31,0,0,0,0
67,0.33,0,0,0,0
68,0.35,0,0,0,0
69,0.37,0,0,0,0
70,0.39,0,0,0,0
71,0.41,0,0,0,0
72,0.43,0,0,0,0
73,0.45,0,0,0,0
74,0.47,0,0,0,0
75,0.49,0,0,0,0
76,0.51,0,0,0,0
77,0.53,0,0,0,0
78,0.55,0,0,0,0
79,0.57,1,1,0,2
80,0.59,0,0,0,0
81,0.61,1,1,0,2
82,0.63,0,0,0,0
83,0.65,2,1.41421,0.585786,3.41421
84,0.67,0,0,0,0
85,0.69,1,1,0,2
86,0.71,0,0,0,0
87,0.73,0,0,0,0
88,0.75,1,1,0,2
89,0.77,1,1,0,2
90,0.79,2,1.41421,0.585786,3.41421
91,0.81,1,1,0,2
92,0.83,1,1,0,2
93,0.85,2,1.41421,0.585786,3.41421
94,0.87,4,2,2,6
95,0.89,3,1.73205,1.26795,4.73205
96,0.91,4,2,2,6
97,0.93,5,2.23607,2.76393,7.23607
98,0.95,9,3,6,12
99,0.97,8,2.82843,5.17157,10.8284
100,0.99,21,4.58258,16.4174,25.5826
