Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,-0.99,19,4.3589,14.6411,23.3589
2,-0.97,9,3,6,12
3,-0.95,10,3.16228,6.83772,13.1623
4,-0.93,6,2.44949,3.55051,8.44949
5,-0.91,4,2,2,6
6,-0.89,3,1.73205,1.26795,4.73205
7,-0.87,2,1.41421,0.585786,3.41421
8,-0.85,3,1.73205,1.26795,4.73205
9,-0.83,2,1.41421,0.585786,3.41421
10,-0.81,3,1.73205,1.26795,4.73205
11,-0.79,5,2.23607,2.76393,7.23607
12,-0.77,1,1,0,2
13,-0.75,3,1.73205,1.26795,4.73205
14,-0.73,1,1,0,2
15,-0.71,0,0,0,0
16,-0.69,0,0,0,0
17,-0.67,2,1.41421,0.585786,3.41421
18,-0.65,1,1,0,2
19,-0.63,1,1,0,2
20,-0.61,0,0,0,0
21,-0.59,3,1.73205,1.26795,4.73205
22,-0.57,0,0,0,0
23,-0.55,1,1,0,2
24,-0.53,2,1.41421,0.585786,3.41421
25,-0.51,3,1.73205,1.26795,4.73205
26,-0.49,1,1,0,2
27,-0.47,0,0,0,0
28,-0.45,1,1,0,2
29,-0.43,1,1,0,2
30,-0.41,2,1.41421,0.585786,3.41421
31,-0.39,1,1,0,2
32,-0.37,0,0,0,0
33,-0.35,2,1.41421,0.585786,3.41421
34,-0.33,1,1,0,2
35,-0.31,1,1,0,2
36,-0.29,3,1.73205,1.26795,4.73205
37,-0.27,0,0,0,0
38,-0.25,0,0,0,0
39,-0.23,1,1,0,2
40,-0.21,1,1,0,2
41,-0.19,1,1,0,2
42,-0.17,2,1.41421,0.585786,3.41421
43,-0.15,0,0,0,0
44,-0.13,1,1,0,2
45,-0.11,0,0,0,0
46,-0.09,2,1.41421,0.585786,3.41421
47,-0.07,1,1,0,2
48,-0.05,0,0,0,0
49,-0.03,0,0,0,0
50,-0.01,0,0,0,0
51,0.01,6,2.44949,3.55051,8.44949
52,0.03,0,0,0,0
53,0.05,1,1,0,2
54,0.07,2,1.41421,0.585786,3.41421
55,0.09,0,0,0,0
56,0.11,0,0,0,0
57,0.13,1,1,0,2
58,0.15,3,1.73205,1.26795,4.73205
59,0.17,2,1.41421,0.585786,3.41421
60,0.19,1,1,0,2
61,0.21,0,0,0,0
62,0.23,2,1.41421,0.585786,3.41421
63,0.25,2,1.41421,0.585786,3.41421
64,0.27,2,1.41421,0.585786,3.41421
65,0.29,5,2.23607,2.76393,7.23607
66,0.31,1,1,0,2
67,0.33,0,0,0,0
68,0.35,3,1.73205,1.26795,4.73205
69,0.37,5,2.23607,2.76393,7.23607
70,0.39,6,2.44949,3.55051,8.44949
71,0.41,2,1.41421,0.585786,3.41421
72,0.43,3,1.73205,1.26795,4.73205
73,0.45,3,1.73205,1.26795,4.73205
74,0.47,7,2.64575,4.35425,9.64575
75,0.49,4,2,2,6
76,0.51,2,1.41421,0.585786,3.41421
77,0.53,3,1.73205,1.26795,4.73205
78,0.55,4,2,2,6
79,0.57,3,1.73205,1.26795,4.73205
80,0.59,7,2.64575,4.35425,9.64575
81,0.61,0,0,0,0
82,0.63,4,2,2,6
83,0.65,2,1.41421,0.585786,3.41421
84,0.67,2,1.41421,0.585786,3.41421
85,0.69,0,0,0,0
86,0.71,2,1.41421,0.585786,3.41421
87,0.73,3,1.73205,1.26795,4.73205
88,0.75,3,1.73205,1.26795,4.73205
89,0.77,9,3,6,12
90,0.79,8,2.82843,5.17157,10.8284
91,0.81,8,2.82843,5.17157,10.8284
92,0.83,7,2.64575,4.35425,9.64575
93,0.85,6,2.44949,3.55051,8.44949
94,0.87,13,3.60555,9.39445,16.6056
95,0.89,11,3.31662,7.68338,14.3166
96,0.91,12,3.4641,8.5359,15.4641
97,0.93,16,4,12,20
98,0.95,19,4.3589,14.6411,23.3589
99,0.97,22,4.69042,17.3096,26.6904
100,0.99,28,5.2915,22.7085,33.2915
