Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,-0.99,3,1.73205,1.26795,4.73205
2,-0.97,3,1.73205,1.26795,4.73205
3,-0.95,0,0,0,0
4,-0.93,0,0,0,0
5,-0.91,1,1,0,2
6,-0.89,0,0,0,0
7,-0.87,5,2.23607,2.76393,7.23607
8,-0.85,1,1,0,2
9,-0.83,2,1.41421,0.585786,3.41421
10,-0.81,1,1,0,2
11,-0.79,2,1.41421,0.585786,3.41421
12,-0.77,1,1,0,2
13,-0.75,1,1,0,2
14,-0.73,1,1,0,2
15,-0.71,0,0,0,0
16,-0.69,1,1,0,2
17,-0.67,1,1,0,2
18,-0.65,0,0,0,0
19,-0.63,2,1.41421,0.585786,3.41421
20,-0.61,1,1,0,2
21,-0.59,1,1,0,2
22,-0.57,2,1.41421,0.585786,3.41421
23,-0.55,2,1.41421,0.585786,3.41421
24,-0.53,1,1,0,2
25,-0.51,0,0,0,0
26,-0.49,0,0,0,0
27,-0.47,2,1.41421,0.585786,3.41421
28,-0.45,1,1,0,2
29,-0.43,1,1,0,2
30,-0.41,1,1,0,2
31,-0.39,2,1.41421,0.585786,3.41421
32,-0.37,1,1,0,2
33,-0.35,3,1.73205,1.26795,4.73205
34,-0.33,2,1.41421,0.585786,3.41421
35,-0.31,4,2,2,6
36,-0.29,1,1,0,2
37,-0.27,1,1,0,2
38,-0.25,1,1,0,2
39,-0.23,0,0,0,0
40,-0.21,3,1.73205,1.26795,4.73205
41,-0.19,2,1.41421,0.585786,3.41421
42,-0.17,3,1.73205,1.26795,4.73205
43,-0.15,3,1.73205,1.26795,4.73205
44,-0.13,0,0,0,0
45,-0.11,3,1.73205,1.26795,4.73205
46,-0.09,3,1.73205,1.26795,4.73205
47,-0.07,1,1,0,2
48,-0.05,2,1.41421,0.585786,3.41421
49,-0.03,4,2,2,6
50,-0.01,0,0,0,0
51,0.01,6,2.44949,3.55051,8.44949
52,0.03,3,1.73205,1.26795,4.73205
53,0.05,1,1,0,2
54,0.07,1,1,0,2
55,0.09,1,1,0,2
56,0.11,1,1,0,2
57,0.13,1,1,0,2
58,0.15,4,2,2,6
59,0.17,3,1.73205,1.26795,4.73205
60,0.19,2,1.41421,0.585786,3.41421
61,0.21,5,2.23607,2.76393,7.23607
62,0.23,1,1,0,2
63,0.25,3,1.73205,1.26795,4.73205
64,0.27,3,1.73205,1.26795,4.73205
65,0.29,2,1.41421,0.585786,3.41421
66,0.31,5,2.23607,2.76393,7.23607
67,0.33,8,2.82843,5.17157,10.8284
68,0.35,4,2,2,6
69,0.37,3,1.73205,1.26795,4.73205
70,0.39,3,1.73205,1.26795,4.73205
71,0.41,6,2.44949,3.55051,8.44949
72,0.43,4,2,2,6
73,0.45,4,2,2,6
74,0.47,5,2.23607,2.76393,7.23607
75,0.49,8,2.82843,5.17157,10.8284
76,0.51,4,2,2,6
77,0.53,3,1.73205,1.26795,4.73205
78,0.55,5,2.23607,2.76393,7.23607
79,0.57,16,4,12,20
80,0.59,8,2.82843,5.17157,10.8284
81,0.61,11,3.31662,7.68338,14.3166
82,0.63,13,3.60555,9.39445,16.6056
83,0.65,8,2.82843,5.17157,10.8284
84,0.67,14,3.74166,10.2583,17.7417
85,0.69,9,3,6,12
86,0.71,14,3.74166,10.2583,17.7417
87,0.73,8,2.82843,5.17157,10.8284
88,0.75,14,3.74166,10.2583,17.7417
89,0.77,22,4.69042,17.3096,26.6904
90,0.79,22,4.69042,17.3096,26.6904
91,0.81,26,5.09902,20.901,31.099
92,0.83,20,4.47214,15.5279,24.4721
93,0.85,33,5.74456,27.2554,38.7446
94,0.87,25,5,20,30
95,0.89,50,7.07107,42.9289,57.0711
96,0.91,56,7.48331,48.5167,63.4833
97,0.93,103,10.1489,92.8511,113.149
98,0.95,148,12.1655,135.834,160.166
99,0.97,385,19.6214,365.379,404.621
100,0.99,1293,35.9583,1257.04,1328.96
