Bin Number,Bin Center,Entries,Error,Lower End,Upper End
1,-0.99,2,1.41421,0.585786,3.41421
2,-0.97,1,1,0,2
3,-0.95,0,0,0,0
4,-0.93,0,0,0,0
5,-0.91,0,0,0,0
6,-0.89,0,0,0,0
7,-0.87,0,0,0,0
8,-0.85,2,1.41421,0.585786,3.41421
9,-0.83,0,0,0,0
10,-0.81,0,0,0,0
11,-0.79,1,1,0,2
12,-0.77,2,1.41421,0.585786,3.41421
13,-0.75,1,1,0,2
14,-0.73,0,0,0,0
15,-0.71,1,1,0,2
16,-0.69,0,0,0,0
17,-0.67,0,0,0,0
18,-0.65,2,1.41421,0.585786,3.41421
19,-0.63,1,1,0,2
20,-0.61,2,1.41421,0.585786,3.41421
21,-0.59,0,0,0,0
22,-0.57,1,1,0,2
23,-0.55,1,1,0,2
24,-0.53,3,1.73205,1.26795,4.73205
25,-0.51,0,0,0,0
26,-0.49,0,0,0,0
27,-0.47,0,0,0,0
28,-0.45,3,1.73205,1.26795,4.73205
29,-0.43,3,1.73205,1.26795,4.73205
30,-0.41,0,0,0,0
31,-0.39,0,0,0,0
32,-0.37,2,1.41421,0.585786,3.41421
33,-0.35,0,0,0,0
34,-0.33,0,0,0,0
35,-0.31,1,1,0,2
36,-0.29,2,1.41421,0.585786,3.41421
37,-0.27,0,0,0,0
38,-0.25,2,1.41421,0.585786,3.41421
39,-0.23,1,1,0,2
40,-0.21,2,1.41421,0.585786,3.41421
41,-0.19,0,0,0,0
42,-0.17,2,1.41421,0.585786,3.41421
43,-0.15,1,1,0,2
44,-0.13,3,1.73205,1.26795,4.73205
45,-0.11,1,1,0,2
46,-0.09,1,1,0,2
47,-0.07,3,1.73205,1.26795,4.73205
48,-0.05,4,2,2,6
49,-0.03,0,0,0,0
50,-0.01,0,0,0,0
51,0.01,2,1.41421,0.585786,3.41421
52,0.03,0,0,0,0
53,0.05,0,0,0,0
54,0.07,3,1.73205,1.26795,4.73205
55,0.09,1,1,0,2
56,0.11,0,0,0,0
57,0.13,1,1,0,2
58,0.15,1,1,0,2
59,0.17,2,1.41421,0.585786,3.41421
60,0.19,2,1.41421,0.585786,3.41421
61,0.21,2,1.41421,0.585786,3.41421
62,0.23,1,1,0,2
63,0.25,1,1,0,2
64,0.27,2,1.41421,0.585786,3.41421
65,0.29,2,1.41421,0.585786,3.41421
66,0.31,7,2.64575,4.35425,9.64575
67,0.33,1,1,0,2
68,0.35,1,1,0,2
69,0.37,0,0,0,0
70,0.39,4,2,2,6
71,0.41,1,1,0,2
72,0.43,3,1.73205,1.26795,4.73205
73,0.45,3,1.73205,1.26795,4.73205
74,0.47,3,1.73205,1.26795,4.73205
75,0.49,3,1.73205,1.26795,4.73205
76,0.51,5,2.23607,2.76393,7.23607
77,0.53,3,1.73205,1.26795,4.73205
78,0.55,4,2,2,6
79,0.57,4,2,2,6
80,0.59,2,1.41421,0.585786,3.41421
81,0.61,5,2.23607,2.76393,7.23607
82,0.63,5,2.23607,2.76393,7.23607
83,0.65,4,2,2,6
84,0.67,3,1.73205,1.26795,4.73205
85,0.69,3,1.73205,1.26795,4.73205
86,0.71,2,1.41421,0.585786,3.41421
87,0.73,5,2.23607,2.76393,7.23607
88,0.75,9,3,6,12
89,0.77,7,2.64575,4.35425,9.64575
90,0.79,5,2.23607,2.76393,7.23607
91,0.81,10,3.16228,6.83772,13.1623
92,0.83,5,2.23607,2.76393,7.23607
93,0.85,15,3.87298,11.127,18.873
94,0.87,23,4.79583,18.2042,27.7958
95,0.89,13,3.60555,9.39445,16.6056
96,0.91,12,3.4641,8.5359,15.4641
97,0.93,22,4.69042,17.3096,26.6904
98,0.95,24,4.89898,19.101,28.899
99,0.97,44,6.63325,37.3668,50.6332
100,0.99,62,7.87401,54.126,69.874
